assessment,id,title,text,priority,potential,parent
green,G2-1516,"Sachstand 2015 / 2016","Das Projekt ist weiterhin in „Münsters Allianz für Klimaschutz" (Ü4) integriert.",5,-,G2
green,G2-1718,"Sachstand 2017 / 2018",""Kein neuer Sachstand,5,-,G2

orange,G3,"Energiecontrolling für KMU","Energiecontrolling für KMU",4,(4),G
white,G3-Plan,"geplant","Entwicklung eines Qualitätsmanagementsystems zum Aufbau eines einfachen Energiemanagements in KMU",4,(4),G3
orange,G3-13,"Sachstand 2013","Eine Recherche zu den am Markt erhältlichen Energiecontrolling-Systemen für KMU wurde durchgeführt, wobei kein einfaches System zur Verfügung steht. Die Systeme haben alle einen hohen Arbeitsaufwand, der von den kleinen Unternehmen nicht geleistet werden kann. Für die kontinuierliche Erfassung und Auswertung der Stromverbrauchsdaten kleiner Betriebe ist der Einsatz eines Smart-Meter-Zählers mit entsprechender Dienstleistung die einfachste Lösung. Hier wird der Status Quo der Einsatzmöglichkeit durch die Stadtwerke Münster GmbH geprüft. Die Ergebnisse fließen in die „Initialberatung Energieeffizienz“ (G1) ein.",4,(4),G3
green,G3-1516,"Sachstand 2015 / 2016","m Rahmen von „Münsters Allianz für Klimaschutz“ wurde für die Unternehmen ein einfaches Bilanzierungstool auf Excel-Basis erstellt und den Unternehmen im Rahmen eines Workshops vorgestellt. Ziel soll es sein, dass die teilnehmenden Unternehmen an Hand weniger Daten eine jährliche Bilanzierung durchführen können.",4,(4),G3
orange,G3-1718,"Sachstand 2017 / 2018","Kein neuer Sachstand",4,(4),G3

red,G4,"energet. Optimierung schwer vermietbarer Büroimmobilien","energet. Optimierung schwer vermietbarer Büroimmobilien",3,(1),G
white,G4-Plan,"geplant","Ziel der Maßnahme ist die Verringerung des Energieverbrauchs der Immobilien bei Wiedervermietung um 20-40% durch eine Analyse des betroffenen Bestandes an Gewerbeimmobilien und die Entwicklung eines entsprechenden Energieberatungsangebo-
tes.",3,(1),G4
red,G4-13,"Sachstand 2013","Da es sich quantitativ um nicht so viele Gebäude handelt und somit die Auswirkungen auf den CO 2 -Ausstoß eher gering sind, ist die Maßnahme als eingeschränkt bedeutsam und nicht prioritär eingestuft worden.",3,(1),G4
red,G4-1516,"Sachstand 2015 / 2016","Kein neuer Sachstand",3,(1),G4
red,G4-1718,"Sachstand 2017 / 2018","Kein neuer Sachstand",3,(1),G4

green,G5,"Themenspezifische Kampagnen","Themenspezifische Kampagnen",5,(5),G
white,G5-Plan,"geplant","Entwicklung und Durchführung von Kampagnen für verschiedene Branchen zur Energieeffizienz wie z.B. Optimierung der Beleuchtung, Kühlung, Green IT, KWK, etc.",5,(5),G5
green,G5-13,"Sachstand 2013","Im Rahmen von „Münsters Allianz für Klimaschutz - das Netzwerk für Unternehmen“ wurden in den letzten beiden Jahren die Themen LED-Beleuchtung, Green-IT und die
Installation von Photovoltaik-Anlage intensiv behandelt und durch Informationsveranstaltungen, Exkursionen und Materialen begleitet. Schwerpunkt in diesem Jahr wird der Einsatz von Energiemonitoring und –managementsystemen sein.",5,(5),G5
green,G5-1516,"Sachstand 2015 / 2016","Im Rahmen von „Münsters Allianz für Klimaschutz“ wurden in den Projektjahren 2014 – 2016 die Themenschwerpunkte Elektromobilität, Mitarbeitermotivation und die Anwendung des eigens für Münsters „Allianz für Klimaschutz“ entwickelten Bilanzierungstools intensiv behandelt. Zudem wurden die Themen Stromspeicherung sowie mögliche Fördermittel für Unternehmen mit je einem Workshop den Unternehmen nahe gebracht.",5,(5),G5
green,G5-1718,"Sachstand 2017 / 2018","Im Rahmen von „Münsters Allianz für Klimaschutz“ wurden im Projektjahr 2018 die Themenschwerpunkte Elektromobilität und verhaltensorientierte Ansätze im Unternehmen in den Fokus genommen. Dabei stand die Verbindung von Klimaschutz und Mitarbeitermotivation (Attraktivität des Arbeitgebers) im Fokus. Schwerpunkte waren Klimaschutz am Arbeitsplatz (Büroausstattung), Klimaschutz und Ernährung sowie Klimaschutz und Mobilität (Vermeidung von Wegen, Home Office, etc.).",5,(5),G5

orange,G6,"„Energieeffizienz durch Nutzermotivation“","„Energieeffizienz durch Nutzermotivation“",4,(3),G
white,G6-Plan,"geplant","Aufbau eines Kompetenzzentrums „Energieeffizienz durch Nutzermotivation“ als Servicestelle für Unternehmen aus dem Sektor GHD. Entwicklung von Umsetzungskonzepten mit Materialien und Bereitstellung eines Beratungsangebotes für die Firmen.",4,(3),G6
orange,G6-13,"Sachstand 2013","Das Thema ist in „Münsters Allianz für Klimaschutz - das Netzwerk für Unternehmen“ eingebunden worden und als Schwerpunktthema „Mitarbeitermotivation“ in der Umsetzung.",4,(3),G6
orange,G6-1516,"Sachstand 2015 / 2016","m Rahmen von „Münsters Allianz für Klimaschutz“ wird das Thema Mitarbeitermotivation durch Workshops und durch Betriebsrundgänge bei Unternehmen, die das Thema intensiv umsetzen (z.B. Knubel), weiterhin aktiv verfolgt.",4,(3),G6
orange,G6-1718,"Sachstand 2017 / 2018","Kein neuer Sachstand",4,(3),G6

orange,G7,"Förderprogramm „Energieeffizienzmaßnahmen im Sektor GHD“","Förderprogramm „Energieeffizienzmaßnahmen im Sektor GHD“",5,5,G
white,G7-Plan,"geplant","Entwicklung eines Förderprogramms mit kleinen finanziellen Zuschüssen für Unternehmen. Das Programm soll dabei als Anreizsystem funktionieren und der Breitenförderung kleinerer Maßnahmen dienen (G1, G5, G6). Finanzierung ggf. in Kooperation mit Herstellern von Effizienzprodukten.",5,5,G7
red,G7-13,"Sachstand 2013","Die Förderung von kleineren vorbildlichen Klimaschutzmaßnahmen in kleinen und mittleren Unternehmen gestaltet sich schwierig, da die Investitionen in den Unternehmen in diesem Sektor sehr zögerlich sind. In 2012 konnte ein Projekt zur Installation von LED-Beleuchtung gefördert werden, wobei im März 2013 die Nachricht kam, dass das Unternehmen die Maßnahme nicht umsetzen wird. Im Rahmen der Haushaltskonsolidierung 2012 wurden die Haushaltsmittel um 50% gekürzt.",5,5,G7
orange,G7-1516,"Sachstand 2015 / 2016","Trotz intensiver Werbung über die Startberatung und Münsters Allianz für Klimaschutz konnten in den Jahren 2013 - 2016 insgesamt nur vier LED-Sanierungen gefördert werden.",5,5,G7
orange,G7-1718,"Sachstand 2017 / 2018","Auch im Jahr 2017 konnten keine Unternehmen gefunden werden, die eine Förderung in Anspruch genommen haben. In 2018 ist die Startberatung für KMU nochmals intensiviert worden (vgl. G1), so dass insgesamt 20 Unternehmen beraten werden konnten, von denen vereinzelt Interesse am Förderprogramm bekundet wurde. Eine Umsetzung der empfohlenen Maßnahmen steht noch aus.",5,5,G7


orange,E,"Energieumwandlung, EE","Energieumwandlung, EE",5,,

orange,E1,"Ausbau der Fernwärme (FW) in der Fläche","Ausbau der Fernwärme (FW) in der Fläche",5,5,E
white,E1-Plan,"geplant","Ausbau des bestehenden FW-Netzes im Umfeld vorhandener Fernwärmetrassen durch die Stadtwerke. Unterstützend soll ein Öko-Image für die Fernwärme aufgebaut werden, d.h. Verbesserung und Aufwertung des Image der Fernwärmeversorgung im Sinne eines ökologisch wertvollen Produktes wie z.B. Ökostrom.",5,5,E1
orange,E1-13,"Sachstand 2013","In Zusammenarbeit mit der Stadtwerke Münster GmbH ist in 2012 die Imagekampagne für die Fernwärme in Münster ausgearbeitet und gestartet worden. Im Rahmen der Haushaltskonsolidierung 2012 wurden die städtischen Haushaltsmittel für die Kampagne eingespart und die Stadtwerke Münster führen die Kampagne in den kommenden Jahren eigenständig fort.",5,5,E1
green,E1-1516,"Sachstand 2015 / 2016","Seit 2013 sind ca. 25.000 kW Anschlussleistung in 320 neuen Hausanschlüssen im Rahmen des Fernwärmeausbaus dazugekommen. Werbung für die Fernwärme erfolgte über unterschiedliche Medien (Bewerbung für FW-Förderprogramm vom 01.01.-31.12.2015; Redaktionelle Artikel zum Förderprogramm im Magazin "Wartung-Direkt"; regelmäßige Kommunikation in verschiedenen lokalen Medien).",5,5,E1
orange,E1-1718,"Sachstand 2017 / 2018","Seit 2013 sind ca. 35.000 kW Anschlussleistung in 390 neuen Hausanschlüssen im Rahmen des Fernwärmeausbaus dazugekommen. Da das FW-Förderprogramm Ende 2015 ausgelaufen ist und nicht neu aufgelegt wurde, ist auch die begleitende Präsens in den Medien deutlich reduziert worden. Aktuell werden in unregelmäßigen Abständen Anzeigen in Printmedien und im Kino geschaltet.",5,5,E1



green,E2,"Ausbau Kraft-Wärme-Kopplung (KWK) im Heizkraftwerk Uni","Ausbau Kraft-Wärme-Kopplung (KWK) im Heizkraftwerk Uni",5,5,E
white,E2-Plan,"geplant","Stadtwerke nehmen sich des Themas an und erarbeiten mit der Uni ein Konzept. Der aktuelle Vertrag läuft noch bis Oktober 2012.",5,5,E2
orange,E2-13,"Sachstand 2013","Nachdem die Prüfung zum Bau einer dritten Gasturbinenlinie (GT) am Standort des Gas- und Dampfturbinen – Heizkraftwerkes (GuD-Anlage) am Hafen ergeben hat, dass ein wirtschaftlicher Betrieb einer dritten GT unter den derzeitigen bzw. mittelfristig zu erwartenden Rahmenbedingungen nicht möglich erscheint, verfolgen die Stadtwerke Münster das KWK-Ausbauziel durch die Projektierung von Groß-BHKWs, die in das Fernwärmenetz eingebunden werden sollen. Durch große BHKWs in der Netzperipherie, die mit Wärmespeichern kombiniert werden, wird der Erzeugungsanteil der in Kraft-Wärme-Kopplung erzeugten Fernwärme weiter gesteigert werden. Darüber hinaus kann durch die dezentrale Fernwärmeeinspeisung hydraulischen Engpässen im Fernwärmenetz begegnet werden. Die Stadtwerke haben ihr Konzept der Universität vorgestellt und befinden sich mit der Uni im Gespräch über diesbezüglich mögliche Standortkooperationen. Die laufende Kooperation in der Fernwärmeerzeugung wird über das Auslaufen der Lieferverträge im Oktober 2012 zzt. dergestalt fortgesetzt, dass der Uni KWK-Grundlastwärme im Rahmen der verfügbaren Kapazitäten aus der GuD-Anlage zu günstigen Konditionen zur Verfügung gestellt wird, so dass der Einsatz der eigenen Gas-Kessel am Orléansring entsprechend zurück gefahren werden kann.",5,5,E2
green,E2-1516,"Sachstand 2015 / 2016","Eine direkte Kooperation der Stadtwerke mit der Universität konnte aus wettbewerblichen Gründen nicht abgeschlossen werden. In den nachfolgenden Ausschreibungen konnten die Stadtwerke jedoch den Zuschlag erhalten und mit ihrem Angebot, KWK-Wärme günstig zu liefern, den Zuschlag erhalten und die Erzeugungsmenge konsequent am KWK-Modus der Anlage ausrichten. Die Angebotsstruktur begünstigt somit eine maximale KWK-Wärmeerzeugung. Die lokalen Gaseinsatzmengen der Universität sind deutlich zurückgegangen.",5,5,E2
green,E2-1718,"Sachstand 2017 / 2018","Die Universität schreibt ihren Erdgasbedarf zur Wärmeerzeugung im HKW Orléansring aus wettbewerblichen Gründen weiterhin regelmäßig aus. Die Stadtwerke konnten sich mit ihren Alternativangeboten zur Lieferung kostengünstiger KWK-Grundlastwärme aus der GuD-Anlage im HKW-Hafen im Wettbewerb erfolgreich behaupten. Dies ermöglicht eine maximale KWK-Wärmeerzeugung in Münsters Fernwärmesystem und die Gaseinsatzmengen der reinen Wärmeerzeugung verbleiben auf niedrigem Niveau.",5,5,E2



red,V,"Verkehr","Verkehr",5,,

,Vneu,"umfassendes Konzept für eine klimaschonende Verkehrsentwicklung, für Klimaschutz in der räumlichen Stadtentwicklung und im Städtebau","umfassendes Konzept für eine klimaschonende Verkehrsentwicklung, für Klimaschutz in der räumlichen Stadtentwicklung und im Städtebau",5,(5),V
white,Vneu-Plan,"geplant","Die Verwaltung wird beauftragt, ein umfassendes Konzept für eine Klima schonende Verkehrsentwicklung, für Klimaschutz in der räumlichen Stadtentwicklung und im Städtebau vorzulegen: Dabei sind für das Jahr 2020 folgende Ziele zu berücksichtigen:<br>- Die Anteile der umweltfreundlichen Verkehrsmittel im Stadtverkehr und der öffentlichen Verkehrsmittel im regionalen Verkehr sollen deutlich gesteigert werden,<br>- das weitere Wachstum der Siedlungsflächen im Stadtgebiet soll gestoppt und durch Innenentwicklung, durch Flächenrecycling und durch städtebauliche Verdichtung in den Siedlungskernen kompensiert werden,<br>- die Inanspruchnahme von Freiraum, insbesondere von land- und forstwirtschaftli-
chen Flächen für die Siedlungsentwicklung, soll beendet werden,<br>- Städtebauliche Planungen und Vorhaben sind grundsätzlich auf die Ziele der Energieeinsparung, der Energieeffizienz und der Nutzung Erneuerbarer Energien auszurichten.<br> Die bislang im Klimaschutzkonzept 2020 vorgesehenen Maßnahmen in den Bereichen Verkehr (V1– V12) sowie Stadtentwicklung/Städtebau (Ü8) werden in dieses Konzept integriert.",5,(5),Vneu
,Vneu-13,"Sachstand 2013","Die Verwaltung arbeitet kontinuierlich im Bereich der Gesamtverkehrsplanung. So wird aktuell der 3. Nahverkehrsplan der Stadt Münster als Teil des Gesamtprojektes „Mobilität Münster 2025“ (ehemals „VEP Münster 2025“) erstellt. Im Dezember 2012 wurden die zukünftigen Bedienungs- und Beförderungsqualitäten des ÖPNV in Münster be-
schlossen (V/0791/2012/1 „Dritter Nahverkehrsplan Stadt Münster – Rahmenvorgaben“). Mit dieser Vorlage wurde gleichzeitig das Ziel formuliert, den Anteil des ÖPNV am innerstädtischen Verkehr auf 15 Prozent zu steigern. Es ist geplant den Entwurf „Dritter Nahverkehrsplan Stadt Münster“ noch in 2013 der Politik vorzulegen.",5,(5),Vneu
,Vneu-1516,"Sachstand 2015 / 2016","Münster ist eine wachsende Stadt mit aktuell ca. 305.000 Einwohnern. Für das Jahr 2030 prognostiziert die Stadt Münster ein weiteres Einwohnerwachstum auf (je nach
Flüchtlingszustrom) ca. 326.000 – 347.00 Einwohner. Dies führt – zusammen mit den nach wie vor sinkenden Haushaltsgrößen – zu einer Zielzahl von mindestens 2.000 Neubauwohnungen im Jahr bei einem derzeit angespannten Wohnungsmarkt mit steigenden Mieten und Bodenpreisen. Um die Inanspruchnahme bisher nicht baulich genutzter Freiflächen zu minimieren, hat der Rat der Stadt Münster festgelegt, dass mindestens die Hälfte der Neubauwohnungen im Innenbereich und damit auf Brachflächen, im Gebäudeleerstand und in Baulücken errichtet werden sollen. Dieser Wert wurde in der Vergangenheit regelmäßig in Münster erreicht bzw. (z.T. deutlich) überschritten, indem konsequent insbesondere gewerbliche Brachflächen, militärische Konversionsflächen, aber auch bauliche Nachverdichtungsmöglichkeiten genutzt wurden. Trotz dieser intensiven und erfolgreichen Bemühungen reicht eine reine Innenentwicklung in Münster vor dem Hintergrund der o.a. erwarteten Bevölkerungsentwicklung und der daher zu berücksichtigenden Flächenbedarfe nicht aus, um ausreichend (bezahlbaren) Wohnraum zur Verfügung zu stellen können. Insofern ist es auch zukünftig erforderlich, in nach Möglichkeit begrenztem Umfang Freiraum in Anspruch zu nehmen, um auf diesen Flächen neuen Wohnraum zu schaffen. Die Verwaltung arbeitet kontinuierlich an der Verbesserung des Umweltverbundes im Bereich der Gesamtverkehrsplanung. So wurde aktuell der 3. Nahverkehrsplan der Stadt Münster am 17.02.2016 beschlossen. Das Radverkehrskonzept Münster 2025 als Teil des Gesamtprojektes „Mobilität Münster 2025“ (ehemals „VEP Münster 2025“) ist aktuell in der politischen Beratung (s. V 9). Mit dem 3. Nahverkehrsplan wurde das Ziel formuliert, den Anteil des ÖPNV am innerstädtischen Verkehr auf 15 Prozent zu steigern. Das Radverkehrskonzept gibt als lang fristiges Ziel eine Steigerung des Radverkehrsanteils in Münster von heute 40% auf 50% am Modal-Split an.",5,(5),Vneu
,Vneu-1718,"Sachstand 2017 / 2018","Münster ist eine wachsende Stadt mit aktuell ca. 309.000 Einwohnern. Für das Jahr 2030 prognostizieren sowohl das Land NRW als auch die Stadt Münster selbst ein weiteres Einwohnerwachstum auf mindestens ca. 326.000 Einwohner. Dies führt – zusammen mit den allgemein sinkenden Haushaltsgrößen – zum Bedarf von ca. 2.000 Neubauwohnungen im Jahr bei einem derzeit angespannten Wohnungsmarkt mit steigenden Mieten und Bodenpreisen. Das Einwohnerwachstum geht einher mit einem steigenden Bedarf an gewerblichen Bauflächen unter den im Sachstand 2015/2016 dargestellten Anforderungen. Um den Verkehrstechnischen Anforderungen gerecht zu werden, ist die Erarbeitung eines Masterplan Mobilität Münster 2035+ beschlossen worden. Auszug aus der Begründung zur Aufstellung eines Masterplans Mobilität Münster 2035+ (V/0802/2017):<br>Die dynamisch wachsende Stadt Münster steht vor großen Herausforderungen. Neben dem Thema „Schaffung von bezahlbarem Wohnraum“ zählt hierzu insbesondere die zukunftsfähige, stadt- und umweltverträgliche Gestaltung des Verkehrsgeschehens. Die heutige Verkehrsinfrastruktur mit ihren vielfach zu engen historischen Straßenquerschnitten entspricht allenfalls dem Verkehrsaufkommen einer Bevölkerung von rd. 260.000 Einwohnern, nicht aber einer Großstadt. Das aktuelle Verkehrssystem weist daher deutliche Kapazitätsengpässe und Defizite im motorisierten Individualverkehr (MIV), im Schienenpersonennahverkehr / Öffentlicher Personennahverkehr (SPNV/ÖPNV) und im Radverkehr auf. Der daraus resultierende massive Druck auf den begrenzt zur Verfügung stehenden öffentlichen Verkehrsraum ist vor allem zu den verkehrlichen Spitzenzeiten täglich sichtbar. Dies führt zu erheblichen Beeinträchtigungen hinsichtlich Wohn-, Lebens- und Aufenthaltsqualität vor allem im Kernstadtbereich. Insbesondere im Hauptverkehrsstraßennetz kommt es durch die Überlagerung des Münsteraner Verkehrs und der Zunahme des motorisierten Pendlerverkehrs zu deutlichen Leistungsfähigkeitsengpässen mit entsprechend negativen Auswirkungen (Lärm, Luft, etc.) für die Wohnbevölkerung. Auch die Verkehrssysteme des öffentlichen regionalen schienen- und straßengebundenen Verkehrs kommen in den Hauptverkehrszeiten an ihre Leistungsgrenzen. Zudem haben die vielfältigen Ansprüche der einzelnen Verkehrsträger und deren Nutzer an den öffentlichen Verkehrsraum qualitativ und quantitativ derart zugenommen, dass sie sich gegenseitig konkurrenzieren und um „ihre“ Verkehrsfläche „streiten“. Es liegt auf der Hand, dass es zu dieser Problematik keine „schlichten“ Lösungen geben kann, in dem die Verkehrsfläche einfach vergrößert wird. Dies ist in einer im Kern verdichteten Großstadt allein aufgrund der existierenden Bebauung weder möglich noch zielführend. Vielmehr stellt sich die komplexe Frage, wie mit der begrenzten Verfügbarkeit an Verkehrsfläche bei dynamisch wachsender Einwohnerzahl und hohem Pendleraufkommen das zukünftige Verkehrsgeschehen unter Einbeziehung der regionalen Verflechtungen intelligent und nachhaltig organisiert sowie finanziert werden kann. Hierauf soll der zur Erarbeitung empfohlene Masterplan „Mobilität Münster 2035+“ ziel- und umsetzungsorientierte Antworten geben. Damit ist der Masterplan ein zentraler Baustein für die dynamisch wachsende Stadt Münster. Im regionalen Kontext wird Münster damit zum Impulsgeber der Entwicklung eines zukunftsfähigen integrativen Mobilitätskonzeptes.",5,(5),Vneu
,Vneu-1718,"Sachstand 2017 / 2018","Münster ist eine wachsende Stadt mit aktuell ca. 309.000 Einwohnern. Für das Jahr 2030 prognostizieren sowohl das Land NRW als auch die Stadt Münster selbst ein weiteres Einwohnerwachstum auf mindestens ca. 326.000 Einwohner. Dies führt – zusammen mit den allgemein sinkenden Haushaltsgrößen – zum Bedarf von ca. 2.000 Neubauwohnungen im Jahr bei einem derzeit angespannten Wohnungsmarkt mit steigenden Mieten und Bodenpreisen. Das Einwohnerwachstum geht einher mit einem steigenden Bedarf an gewerblichen Bauflächen unter den im Sachstand 2015/2016 dargestellten Anforderungen. Um den Verkehrstechnischen Anforderungen gerecht zu werden, ist die Erarbeitung eines Masterplan Mobilität Münster 2035+ beschlossen worden. Auszug aus der Begründung zur Aufstellung eines Masterplans Mobilität Münster 2035+ (V/0802/2017):<br>Die dynamisch wachsende Stadt Münster steht vor großen Herausforderungen. Neben dem Thema „Schaffung von bezahlbarem Wohnraum“ zählt hierzu insbesondere die zukunftsfähige, stadt- und umweltverträgliche Gestaltung des Verkehrsgeschehens. Die heutige Verkehrsinfrastruktur mit ihren vielfach zu engen historischen Straßenquerschnitten entspricht allenfalls dem Verkehrsaufkommen einer Bevölkerung von rd. 260.000 Einwohnern, nicht aber einer Großstadt. Das aktuelle Verkehrssystem weist daher deutliche Kapazitätsengpässe und Defizite im motorisierten Individualverkehr (MIV), im Schienenpersonennahverkehr / Öffentlicher Personennahverkehr (SPNV/ÖPNV) und im Radverkehr auf. Der daraus resultierende massive Druck auf den begrenzt zur Verfügung stehenden öffentlichen Verkehrsraum ist vor allem zu den verkehrlichen Spitzenzeiten täglich sichtbar. Dies führt zu erheblichen Beeinträchtigungen hinsichtlich Wohn-, Lebens- und Aufenthaltsqualität vor allem im Kernstadtbereich. Insbesondere im Hauptverkehrsstraßennetz kommt es durch die Überlagerung des Münsteraner Verkehrs und der Zunahme des motorisierten Pendlerverkehrs zu deutlichen Leistungsfähigkeitsengpässen mit entsprechend negativen Auswirkungen (Lärm, Luft, etc.) für die Wohnbevölkerung. Auch die Verkehrssysteme des öffentlichen regionalen schienen- und straßengebundenen Verkehrs kommen in den Hauptverkehrszeiten an ihre Leistungsgrenzen. Zudem haben die vielfältigen Ansprüche der einzelnen Verkehrsträger und deren Nutzer an den öffentlichen Verkehrsraum qualitativ und quantitativ derart zugenommen, dass sie sich gegenseitig konkurrenzieren und um „ihre“ Verkehrsfläche „streiten“. Es liegt auf der Hand, dass es zu dieser Problematik keine „schlichten“ Lösungen geben kann, in dem die Verkehrsfläche einfach vergrößert wird. Dies ist in einer im Kern verdichteten Großstadt allein aufgrund der existierenden Bebauung weder möglich noch zielführend. Vielmehr stellt sich die komplexe Frage, wie mit der begrenzten Verfügbarkeit an Verkehrsfläche bei dynamisch wachsender Einwohnerzahl und hohem Pendleraufkommen das zukünftige Verkehrsgeschehen unter Einbeziehung der regionalen Verflechtungen intelligent und nachhaltig organisiert sowie finanziert werden kann. Hierauf soll der zur Erarbeitung empfohlene Masterplan „Mobilität Münster 2035+“ ziel- und umsetzungsorientierte Antworten geben. Damit ist der Masterplan ein zentraler Baustein für die dynamisch wachsende Stadt Münster. Im regionalen Kontext wird Münster damit zum Impulsgeber der Entwicklung eines zukunftsfähigen integrativen Mobilitätskonzeptes.",5,(5),Vneu


,V1,"Klimaschutz als zentrale Zielstellung im Verkehrsentwicklungsplan 2025","Klimaschutz als zentrale Zielstellung im Verkehrsentwicklungsplan 2025",4,(3),V
white,V1-Plan,"geplant","Zur Ausrichtung der zukünftigen Klima schonenden Verkehrsplanungen sollte der Klimaschutzaspekt in den VEP Münster 2025 aufgenommen werden und durch ein Moni-
toring die Verkehrsentwicklung mittels regelmäßig aktualisierter Nachhaltigkeits- bzw.
Klimaschutzindikatoren überprüft werden.",4,(3),V1
red,V1-13,"Sachstand 2013","kein neuer Sachstand",4,(3),V1
red,V1-1516,"Sachstand 2015 / 2016","Die Verkehrsplanung betreibt ein regelmäßiges Monitoring der Verkehrsentwicklung im Stadtgebiet und im Stadt-Umland-Verkehr. So werden:<br>• Die gesamtverkehrlichen Entwicklungen werden bereits seit 1982 durch turnusmäßige Haushaltsbefragungen nachgehalten.<br>• Die Entwicklungen im MIV werden durch regelmäßige Handzählungen und durch kontinuierliche automatische Zählungen an den Signalanlagen überwacht.<br>• Wesentliche Knoten im Hauptverkehrsstraßennetz werden im Abstand von ca. 5 Jahren gezählt.<br>• Die automatisierten Radzählstellen (derzeit 8) auf bedeutenden Radverkehrsachsen werden kontinuierlich ausgebaut.<br>• Neben regelmäßigen Befragungen der Fahrgäste in den Stadtbuslinien werden seit 2016 auch die Ein-/Aussteigerzahlen automatisiert erfasst.<br> Zusätzlich werden anlassbezogen Zählungen durchgeführt. Die Ergebnisse dieser Erhebungen fließen zum einen in das Verkehrsmodell der Stadt Münster ein. Dieses Verkehrsmodell bildet die Basis vieler Verkehrsuntersuchungen, die z.B. im Rahmen von B-Plan-Verfahren durch die Verkehrsplanung erstellt werden. Auch der 3. Nahverkehrsplan stützt sich auf Daten, die durch diese regelmäßigen Erhebungen zur Verfügung stehen.",4,(3),V1
red,V1-1718,"Sachstand 2017 / 2018","Ergänzend zum Sachstand 2015/2016 hat der Haupt- und Finanzausschuss am 06.12.2017 mit dem Beschluss der Vorlage V/0802/2017 den „Masterplan Mobilität Münster 2035+“ beschlossen. Die Erstellung eines Masterplans „Mobilität Münster 2035+“ steht auch unter der Zielsetzung, die hohen NOx- und CO 2 -Werte zu reduzieren. Er soll einen maßgeblichen Beitrag zu einem zukunftsfähigen und nachhaltigen Verkehrsgeschehen in der Stadt Münster liefern. In diesem Sinne ist er die „verkehrliche Säule“ eines übergeordneten „green-city-plans (GCP)“. Vor diesem Hintergrund hat die Verwaltung im Herbst 2017 einen Antrag zum Förderprogramm „Automatisierung und Vernetzung im Straßenverkehr“ des Bundesministeriums für Verkehr und digitale Infrastruktur gestellt. Der Bund hat diesen Antrag zur nachhaltigen Entwicklung eines emissionsarmen, stadtverträglichen und ressourcenschonenden Gesamtverkehrs der Stadt Münster (GCP Münster)“ bewilligt. Daraufhin hat die Verwaltung zur Vorbereitung des Masterplan Mobilität Münster 2035+ eine zweistufige Expertise „Vorzeitige Gestaltung des Zukunftsprozesses Masterplan Mobilität Münster 2035+“ vergeben:<br>Stufe 1: Sichtung und Bewertung vorhandener verkehrlicher Programme, Projekte und Prozesse (z. B. 3. Nahverkehrsplan Stadt Münster, Radverkehrskonzept Münster, Lärmaktionsplan Stadt Münster, Luftreinhalteplan Stadt Münster, Wohnbaulandprogramm, Integriertes Stadtentwicklungskonzept, Münster Zukünfte 20/30/50, Global Nachhaltige Kommune) mit Wirkungsaussagen zur NOx- und CO 2 -Reduzierung.<br>Stufe 2: Projektskizze zu den Bearbeitungsinhalten und der Vorgehensweise „Masterplan Mobilität Münster 2035+“ unter der Maßgabe einer möglichst hohen Reduzierung der NOx- und CO 2 -Werte.",4,(3),V1
